symbol,price,change
STOXX600*,614.38,-0.03%
DAX*,"25,297.13",-0.22%
FTSE*,"10,235.29",-0.04%
CAC*,"8,258.94",-0.65%
FTSE MIB*,"45,799.69",-0.11%
